Material,Coating Material,Temperature (°C),Density (g/cm³),Thermal Conductivity (W/m·K),Thermal Expansion (×10⁻⁶/°C),Normal Load (N),Sliding Speed (m/s),COF,Wear Rate (mm³/N·m),Hardness (HV),Lunar Contact
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,5,0.1,0.0471,0.00000000074629,2355,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,5,0.1,0.1779,0.000000016171,2348,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,5,0.5,0.0427,0.0000000013881,2348,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,5,0.5,0.1745,0.000000031653,2344,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,5,1,0.0444,0.0000000020676,2350,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,5,1,0.1675,0.000000042314,2347,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,10,0.001,0.0523,0.00000000018064,2350,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,10,0.001,0.1893,0.0000000041827,2354,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,10,0.01,0.0413,0.00000000056398,2350,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,10,0.01,0.1915,0.000000010318,2352,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,10,0.05,0.0429,0.0000000011729,2346,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,10,0.05,0.1668,0.000000021332,2352,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,10,0.1,0.0454,0.000000001361,2350,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,10,0.1,0.165,0.000000023872,2348,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,10,0.5,0.042,0.0000000027462,2351,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,10,0.5,0.1498,0.000000049738,2349,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,10,1,0.039,0.0000000035754,2348,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,10,1,0.1731,0.000000068864,2352,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,20,0.001,0.0448,0.00000000034871,2351,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,20,0.001,0.1755,0.0000000092461,2350,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,20,0.01,0.0432,0.0000000010319,2349,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,20,0.01,0.1751,0.000000020569,2344,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,20,0.05,0.039,0.0000000021909,2354,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,20,0.05,0.1637,0.000000043407,2343,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,20,0.1,0.039,0.0000000026199,2345,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,20,0.1,0.1441,0.000000049002,2347,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,20,0.5,0.0394,0.000000004584,2345,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,20,0.5,0.1438,0.000000090385,2358,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,20,1,0.0354,0.0000000066477,2354,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,20,1,0.1351,0.00000012423,2357,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,50,0.001,0.0385,0.00000000080879,2351,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,50,0.001,0.1479,0.00000001723,2343,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,50,0.01,0.0357,0.000000002132,2351,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,50,0.01,0.1384,0.00000003986,2351,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,50,0.05,0.0345,0.0000000038831,2359,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,50,0.05,0.1246,0.000000085546,2353,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,50,0.1,0.0317,0.0000000061001,2356,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,50,0.1,0.134,0.00000012231,2352,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,50,0.5,0.0305,0.000000010014,2349,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,50,0.5,0.1228,0.00000020767,2346,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,50,1,0.0324,0.000000014241,2351,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,50,1,0.1194,0.00000032479,2357,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,1,0.001,0.0513,0,2352,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,1,0.001,0.2062,0.00000000067944,2351,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,1,0.01,0.0506,0,2351,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,1,0.01,0.193,0.0000000017251,2341,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,1,0.05,0.0457,0.00000000016618,2350,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,1,0.05,0.1812,0.0000000031111,2351,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,1,0.1,0.0451,0.00000000022247,2349,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,1,0.1,0.1963,0.0000000043972,2352,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,1,0.5,0.0437,0.00000000042869,2342,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,1,0.5,0.183,0.000000010099,2352,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,1,1,0.0476,0.00000000058474,2352,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,1,1,0.1723,0.000000010805,2352,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,5,0.001,0.0513,0.0000000001294,2345,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,5,0.001,0.2252,0.0000000021473,2349,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,5,0.01,0.0452,0.00000000032541,2352,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,5,0.01,0.1917,0.0000000057942,2354,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,5,0.05,0.0488,0.00000000060616,2345,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,5,0.05,0.1839,0.000000011442,2350,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,5,0.1,0.0478,0.00000000071185,2360,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,5,0.1,0.1743,0.000000017014,2350,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,5,0.5,0.0442,0.0000000016824,2345,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,5,0.5,0.1623,0.000000029509,2353,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,5,1,0.0421,0.0000000024351,2347,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,5,1,0.1588,0.000000042946,2351,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,10,0.001,0.0525,0.00000000021318,2360,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,10,0.001,0.2064,0.0000000042925,2347,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,10,0.01,0.0491,0.00000000056437,2351,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,10,0.01,0.1539,0.000000010493,2349,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,10,0.05,0.0425,0.000000001312,2348,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,10,0.05,0.1726,0.000000021985,2342,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,10,0.1,0.0414,0.0000000016736,2356,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,10,0.1,0.1648,0.000000029771,2349,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,10,0.5,0.0414,0.0000000029311,2350,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,10,0.5,0.167,0.000000057548,2347,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,10,1,0.0393,0.0000000045024,2357,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,10,1,0.1617,0.000000075509,2339,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,20,0.001,0.0449,0.00000000043014,2350,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,20,0.001,0.1749,0.0000000087591,2347,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,20,0.01,0.0423,0.0000000011778,2351,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,20,0.01,0.1775,0.000000021639,2351,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,20,0.05,0.041,0.0000000022167,2345,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,20,0.05,0.1637,0.000000039586,2352,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,20,0.1,0.0402,0.0000000028807,2355,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,20,0.1,0.1592,0.000000056298,2348,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,20,0.5,0.0413,0.0000000058027,2353,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,20,0.5,0.1594,0.000000096067,2349,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,20,1,0.0386,0.0000000069864,2351,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,20,1,0.1451,0.00000015175,2352,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,50,0.001,0.0359,0.0000000010414,2344,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,50,0.001,0.1531,0.000000018769,2353,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,50,0.01,0.0345,0.0000000024086,2349,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,50,0.01,0.1473,0.000000044362,2346,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,50,0.05,0.0341,0.0000000047082,2345,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,50,0.05,0.1294,0.000000087121,2346,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,50,0.1,0.0332,0.0000000057872,2350,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,50,0.1,0.1229,0.00000010006,2350,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,50,0.5,0.0323,0.000000011733,2345,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,50,0.5,0.1324,0.00000021191,2356,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,50,1,0.0304,0.000000015084,2349,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-153,4.43,5.16,6.88,50,1,0.1266,0.00000026449,2348,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,1,0.001,0.0603,0,2350,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,1,0.001,0.2252,0.00000000068068,2350,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,1,0.01,0.053,0,2349,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,1,0.01,0.2063,0.0000000018369,2344,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,1,0.05,0.0533,0.00000000021024,2355,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,1,0.05,0.2065,0.0000000034121,2344,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,1,0.1,0.048,0.00000000022075,2358,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,1,0.1,0.1737,0.0000000042506,2345,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,1,0.5,0.0482,0.00000000046282,2344,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,1,0.5,0.195,0.0000000080571,2357,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,1,1,0.0481,0.00000000053166,2343,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,1,1,0.1935,0.000000010727,2357,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,5,0.001,0.0578,0.00000000014596,2339,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,5,0.001,0.1939,0.0000000026296,2354,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,5,0.01,0.0514,0.0000000003567,2348,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,5,0.01,0.1888,0.000000006859,2351,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,5,0.05,0.0505,0.00000000074451,2348,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,5,0.05,0.1768,0.000000014558,2342,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,5,0.1,0.0466,0.0000000010448,2349,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,5,0.1,0.1992,0.000000017522,2348,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,5,0.5,0.0504,0.0000000017341,2358,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,5,0.5,0.1861,0.000000036808,2352,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,5,1,0.047,0.0000000025324,2343,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,5,1,0.1664,0.000000036634,2339,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,10,0.001,0.054,0.00000000029744,2346,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,10,0.001,0.2191,0.000000004429,2348,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,10,0.01,0.0492,0.00000000068747,2339,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,10,0.01,0.1719,0.000000012417,2347,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,10,0.05,0.0489,0.0000000013069,2341,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,10,0.05,0.1794,0.000000021789,2343,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,10,0.1,0.0487,0.0000000015432,2347,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,10,0.1,0.1761,0.000000029421,2350,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,10,0.5,0.0423,0.0000000030481,2347,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,10,0.5,0.1903,0.000000059968,2342,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,10,1,0.0442,0.0000000041705,2344,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,10,1,0.1753,0.000000083688,2346,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,20,0.001,0.047,0.00000000046808,2345,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,20,0.001,0.1739,0.0000000099553,2336,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,20,0.01,0.0452,0.0000000012577,2356,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,20,0.01,0.2055,0.000000024561,2349,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,20,0.05,0.0419,0.0000000019945,2347,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,20,0.05,0.1645,0.000000038029,2349,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,20,0.1,0.0409,0.0000000034274,2344,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,20,0.1,0.1679,0.000000063326,2352,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,20,0.5,0.0396,0.0000000064492,2348,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,20,0.5,0.1526,0.00000010615,2350,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,20,1,0.0378,0.0000000081476,2343,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,20,1,0.1468,0.00000014863,2357,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,50,0.001,0.0389,0.00000000099346,2344,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,50,0.001,0.1553,0.000000018254,2343,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,50,0.01,0.0376,0.0000000025695,2349,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,50,0.01,0.1424,0.000000052086,2343,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,50,0.05,0.0344,0.0000000050264,2350,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,50,0.05,0.1291,0.000000097567,2351,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,50,0.1,0.0366,0.0000000061783,2344,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,50,0.1,0.1271,0.00000012385,2338,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,50,0.5,0.0325,0.000000013166,2349,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,50,0.5,0.1321,0.00000021211,2339,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,50,1,0.0335,0.000000015391,2344,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-123,4.43,5.4,7.15,50,1,0.1366,0.00000029561,2346,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,1,0.001,0.055,0,2350,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,1,0.001,0.1988,0.00000000072042,2353,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,1,0.01,0.0546,0.00000000010615,2349,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,1,0.01,0.2156,0.0000000019088,2343,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,1,0.05,0.0537,0.00000000020154,2352,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,1,0.05,0.2011,0.0000000035521,2344,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,1,0.1,0.051,0.00000000026494,2348,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,1,0.1,0.2113,0.0000000047285,2356,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,1,0.5,0.0489,0.00000000041256,2352,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,1,0.5,0.1758,0.0000000089825,2341,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,1,1,0.053,0.00000000066743,2346,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,1,1,0.1982,0.000000010038,2345,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,5,0.001,0.0586,0.00000000014212,2347,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,5,0.001,0.2232,0.0000000029218,2352,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,5,0.01,0.0595,0.00000000041077,2349,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,5,0.01,0.203,0.0000000070753,2347,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,5,0.05,0.0491,0.00000000077515,2350,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,5,0.05,0.2043,0.000000014837,2344,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,5,0.1,0.0491,0.00000000099504,2351,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,5,0.1,0.1916,0.000000019644,2341,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,5,0.5,0.0461,0.0000000020707,2350,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,5,0.5,0.1917,0.000000041751,2353,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,5,1,0.0444,0.0000000021911,2342,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,5,1,0.1903,0.000000047686,2353,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,10,0.001,0.0512,0.00000000034738,2347,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,10,0.001,0.2122,0.0000000057638,2347,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,10,0.01,0.0519,0.00000000068364,2348,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,10,0.01,0.2186,0.000000015156,2348,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,10,0.05,0.0481,0.0000000012793,2354,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-93,4.43,5.65,7.42,10,0.05,0.1924,0.000000028329,2345,No
